text,label
@cristiannt_ nigga you beat who ass bitch we've never even fought so u need to stop making up shit and bring yo ass with them,red
"@QueenShyba laughin at my screenshots. no bitch, this might be a code red.",red
@Ant_Dgk @Buckm00se @ChainskiBum would this faggot survive in TJ?,red
"RT @cotydankh: ""are these hoes loyal?""

&#12288; N
&#12288;&#12288; O
&#12288;&#12288;&#12288; O
&#12288;&#12288;&#12288;&#12288; o
&#12288;&#12288;&#12288;&#12288;&#12288;o
&#12288;&#12288;&#12288;&#12288;&#12288; o
&#12288;&#12288;&#12288;&#12288;&#12288;o
&#12288;&#12288;&#12288;&#12288; &#12290;
&#12288;&#12288;&#12288; &#12290;
&#12288;&#12288;&#12288;.
&#12288;&#12288;&#12288;.
&#12288;&#12288;&#12288; .
&#12288;&#12288;&#12288;&#12288;.",red
&#8220;@GreaterThn: for all the bad bitches out there http://t.co/ESXBexvKEs&#8221;Lets go have some fun&#128536; @ambernicolee05 &#128514;&#128514;&#128514;,red
"@jakeysinclair @KamenMyPants it's that puff pass it porn up on the tablet, run up to bitch with assless chaps swearing that I'm catholic",red
RT @WatkinsRaequan: This bitch just blew my high,red
I dont know a niggah that could cover for me,red
@Twan_Bradley22 @RoniqueRaw32 that was no accident lmfao these hoes trynna be lowkey slick...,red
"@vivaalakatyy &#128514;&#128514;&#128514;&#128514;&#128514; oh my gosh why are so so cute?!
FA LA LA LA LA LA LA LA LA bitch &#128536;",red
All hoe money is gooooooooooood,red
making the shittiest pigs in a blanket but they're gonna be good. i'm not tryna impress Gordon Ramsey's bitch ass i'm trying to make poop.,red
"Just start blocking dissenters, you coward pussy. RT@joederosacomedy Patiently awaiting a drop in my Twitter followers. Nothing yet.Oh well.",red
@O3_Millz @xDSmooth idk who gave that bitch my name,red
Charlie looking like he's the one that made that 3.,green
"Forreal forreal, I would let the founder of Capcom fuck my bitch. They made Street Fighter AND Marvel vs Capcom #EternallyGrateful",red
@jayswaggkillah Is a fag,red
"RT @JimNorton: Sterling is a cunt. My point is simply until everyone has privately taped conversations released, shut the fuck up.",red
@OfficialSkai dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot.,red
"RT @EmmGoldLA: A lot of ppl look at me like ""who the fuck does this bitch think she is"".... Ms. Goldschmied to you",red
@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.,red
Every spic cop should be killed. Those pigs only got their job to 'get even' but white people never did anything to them.,red
@Walmart fuck your store bitch,red
"Destiny's Child song ""Say My Name"" is the insecure bitches anthem.",red
will u sell dat pussy for me?,red
"Aight will do, thanks again for comin out",green
&#8220;@CayMarieee: &#8220;@WhereYoHussleAt: @CayMarieee bitch&#8221; what u gone say bitch for. We're on the phone bitch.&#8221; Cuz to the let these Mfs know &#128514;,red
&#8220;@Future_Reich: All y'all some fucking coons&#8221; http://t.co/wU7r3OBxhR,red
RT @CallMeRenee_: @1inkkofrosess hey hoe,red
RT @A_Mitchellll13: My bestfriend got jumped by like 6-7 dudes n ur upset u have to pay fines...? -__________- gtfo bitch,red
x_x RT @LaDarinAintShit: Fat bitches with normal sized legs be looking like car keys.,red
Yeezus was fuckin trash,red
"From the ESPN Yankees game recap: ""the sellout crowd braved 61-degree temperatures."" LOL What??? That's not weather you struggle through.",green
Never lettin dat nigguh used twitter in my phone again,red
Have a nice day my dear.,green
"RT @WillMcAvoyACN: An ad for the Haitian charity ""Water Is Life"" mocks people who use #FirstWorldProblems hashtag through juxtaposition. ...",green
Stop whacking off in the shower queer boy! @Ilovebamf,red
RT @Now_Thats_Fresh: Hoes love exposing other hoes on twitter,red
Dat bitch mouth made da honor roll,red
great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),green
RT if one of your followers sell pussy but hop on Twitter like they got all the morals and class,red
@sandcowboy31 hey it's hillbilly jim and Greg the hammer valentine #pffttt,green
Currently sitting down wishing a bitch would.&#128133;,red
@charmarie hoe you are doing good too!,red
RT @itscoleharmon_: 11:11. I wish you would stop being a hoe.,red
"I hate when girls say ""I'm single but my heart is taken"" bitch, that nigga don't love you. move on !!!",red
"Oomf a hoe. She know she a hoe, I know she a hoe, she wont claim she a hoe, so she say she aint a hoe, but...WE ALL KNOW YOU A HOE!!! HOE!",red
"My sister is a bitch. My nephew got his first haircut, and he's bald &#128557;",red
You are a jiggaboo...!,red
"@Godsmack_Music @iTunesMusic @iTunes That band is white trash, and only white trash would buy that album.",red
You should get more chicken broth if you want ramen unless there's some I don't know about,green
@BeattyJustin @KYOppCoalition I am one proud hillbilly.,green
@Andyheybro the distant chugs at the end of Dried Up... remain to be some of the most perfectly heavy guitars ever recorded.,green
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,yellow
"RT @FriendlyAssh0le: First I charge my phone, then I text your bitch",red
Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,green
@CapitolEVAN That's where I saw the leprechaun. He told me to burn things.,green
RT @RickRaze: Why would I be in a relationship theses hoes go still do them &#128514;&#128175;,red
RT @Mbw44: &#8220;@luzerne_troy: &#8220;@balenceeaga: &#8220;@AienneLuckera: This bitch is awesome &#128588; http://t.co/Q5yhJTbcnr&#8221;need this,red
"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",green
"Pretty over this whole Yankees thing, id rather lose in the ALCS every year then live in Detroit.. I miss the real Steinbrenner #glorydays",green
@Tee_Bizzle nah bitch you like Pookie from new jack city,red
Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,red
pussy ppppoppin on my poppers so the cops see bitcheZzz,red
I uploaded mine to Facebook,green
It stinks in here must be then pussy ass niggas talkin shit #tomyfacebro test me,red
Dick so little ugly hoes tryna find me.,red
I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night,green
"NYC Media last week: LOL, look at the flyover peckerwoods freaking out.

NYC Media now: BRING OUT YOUR DEAD.",green
"@LadyVodkax bare it bitch.
See what I did there",red
&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733;/ http://t.co/4Hhxk9MKHe,green
"RT @digiflorals: bitch do it look like I care 

&#12288; N
&#12288;&#12288; O
&#12288;&#12288;&#12288; O
&#12288;&#12288;&#12288;&#12288; o
&#12288;&#12288;&#12288;&#12288;&#12288;o
&#12288;&#12288;&#12288;&#12288;&#12288; o
&#12288;&#12288;&#12288;&#12288;&#12288;o
&#12288;&#12288;&#12288;&#12288; &#12290;
&#12288;&#12288;&#12288; &#12290;
&#12288;&#12288;&#12288;.
&#12288;&#12288;&#12288;.
&#12288;&#12288;&#12288; .
&#12288;&#12288;&#12288;&#12288;.",red
For such bold people confrontation seems to make bitches out of alot of you,red
Time to go make the gym my bitch,red
"I should probs shave my spic stash soon, its kinda getting out of hand",red
RT @BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy,red
"My reaction when a spoiled white kid says ""nigga"" like they a thug. #everytime #whiggers http://t.co/FZvwC7AskW",red
"I would call you a bitch, but that's frowned upon.",red
&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; RT @PushupSensei: McNair had brisket sizzlin on the grill when his side hoe laid the Uzi game down,red
He's trash. &#8220;@jlojpg: @TRAPGURLRON he said he's not doing collabs for anything less than 10 mil naira like booyyyyyy &#128514;&#8221;,green
Gator's bitches better be using jimmies,red
@josh_sclafani You're also a better little bitch,red
@erinscafe We hate them more than the Cowboys and Yankees.,green
"Met a bad bitch from Chicago. My hat wasn't cocked, yo.",red
"Aight, I'll hit you up when I get some cash",green
"If you work a graveyard shift, she cheating on you off tops. Somebody else gon be tucking ya bitch in.",red
"""Why would you wanna be the Green Ranger? He's evil!"" Duh bitch",red
@Morgaanita hahaha awe yea! Got a date with the baddest bitch around! &#128068;&#128299;&#128176;&#128076;&#10084;&#65039;,red
Cuz u a hoe,red
@Mdnate interested. Just wanted to see a better pic of the soles,green
My sister is such a bitch &#128514;&#9994; http://t.co/TsjmaQ62yb,red
RT @TheKyleHardy: Serving size is Latin for you&#8217;re a little bitch,red
RT @L1LDebbie: You keep your bitch &amp; ill stay on my grind.,red
Have you Eva asked a nicca where dey got sum fake designer frm,red
RT @nick_pertile: Oh my goodness do I hate Chinese people. Fucking zipperheads,red
"Dem hoes more &#128686; &#8220;@LeanandCuisine: This nigga out here fucking retired widows &#8220;@Irsuns: New Race, fuck Black Woman http://t.co/tCSiJi6a0D&#8221;&#8221;",red
"RT @Brianhopecomedy: &#8220;Daddy, Batman&#8217;s parents are dead.&#8221;

&#8220;Yup.&#8221;

&#8220;And Superman&#8217;s.&#8221;

&#8220;Yup.&#8221;

&#8220;What am I going to be when you die?&#8221;

&#8220;Sad ho&#8230;",green
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,green
"That makes you an annoying bitch. If you're out looking to be offended, you can't bitch when you're offended.",red
These bitches need to get out of bed and I'll make them cheeseburgers (: #ImAHomie,red
Did u got that persons story,green
"RT @boburnham: In the future, gay culture will be considered cool by America's teens and instead of wiggers there will be straggots.",red
@ronniecaine so 'how bout now' was just trash huh.,green
RT @MelloPsycho: Apparently the current hair trend for Hollywood bitches is to look like you lost a fight with a weed whacker.,red
@megankjanes23 Scrolling through my TL. Ol' sick ass bitch!!!,red
Black people like @ChiefKeef disgust me laughing at someone who died dumb monkey ass niggas like you need to be locked up just for stupidity,red
I drive by and them bitches waive but girl I can't stop,red
Do as I say soo &#128545;&#128074; R muthaafuckin J hoe &#128514;&#128514;,red
@RunuldoRants faggot sack,red
Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,yellow
"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...",green
RT @CraziestSex: Eat her pussy and look at her like &#128540;&#128541;&#128514; http://t.co/mIgiYMGRJt,red
@IamSaintBryan they call me yellow bone,green
gay ass fags http://t.co/eqn4gvW42V,red
Bumoose ducking those insults like a scared white pussy,red
Anything lor but toa payoh got place 2 walk meh...,green
That son of a bitch moment when you open the fridge and have no food,red
RT @NYTMinusContext: kill whitey,red
Ok lor... Or u wan me go look 4 u?,green
My Fantasy reign starts today! Got pussy nigga Los up first lmao...cmon Seattle D cut upppppp!!!,red
"We'll catch them hoes later, stay on ya grind",red
V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),green
"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",yellow
Only ounces and up niggah,red
Dem niccas run plays too quick,red
Sleeping nt feeling well,green
@taylanicolexo you're just a pussy.,red
@sbsylvester @kieffer_jason @hunterbuch66 bitch that doesn't even make any sense bitch.,red
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",green
Benzino is a bitch point blank period,red
RT @SC4K: Getting ready for the annual heart and sole luncheon @RenHotels #cle with @EricGordon_CEO http://t.co/UJ721FmsXB,green
Ion kno what im doing tonite....i jus kno its gon end wit me dick first in some pussy....,red
"RT @KinGxStoney: Yeah we can't wrestle, might have to rock bottom you foreal ""@VeronicaGK: I'm a big bitch and proud lol let me live""",red
Nigga I fire this nina like it's the first day in the job and the bitch over slept.,red
Damn bitch you nosey please don't touch my phone please,red
&#8220;@NiggaImTatted: Having 0 bitches really the wave&#8221;shaq you got all the hoes,red
&#8220;@prettycha305: Group chat bitches we call yall undercover Feds &#128110;&#128110;&#128110; watching everybody&#8221;,red
RT @mitrebox: At this point every voter in Florida has voted both for and against Charlie Crist.,green
@Diishaidiamond lmao yesterday ? Them hoes was cute af lol,red
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",green
My mom is a cunt,red
@max_dashevsky u and taber the shit coon,red
"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",yellow
The homie reallly LOVE fat bitches &#128514;&#128557;&#128514; like in LOVE,red
Daddy will take good care of you :),green
God you're a faggot if you dont think superman is the best superhero,red
&#128514; bruh these hoes gotta be stupid.,red
what are your new years plans?,green
I been in this hospital since 6 I'm just tryna stay awake for 2more hrs then I can sip this D'usse and party with the rest of the coons,red
@danikawillow don't be a pussy. Also there is beer AND FREE PIZZA HERE. I SWEAR,red
"I cannot be worried 'bout no bitch
Cause I know a bitch could be somewhere sucking a dick (ayeeee)",red
"Got the Vector Job, bitch.",red
"All them hoes crazy RT @Mr_NiceeeGuy: Thick thighs, &#128166; skinny waist, &#128591; and natural beauty face &#128149;",red
When you are big..| God will bring success.,green
This is my number by vivek..,green
@xDSmooth I bet I fuck yo bitch tho,red
Define wigga,green
@ me bitch,red
"RT @amoz1939: drinking
to the last drop
washing teapot 
#haiku #mijikai",green
@denytheprophecy thanks for ignoring my texts fag,red
Mentions probably look like a septic tank. RT @BillCosby: Go ahead. Meme me! http://t.co/2QttvwWICy #CosbyMeme http://t.co/72IMb6Rfzn,green
"RT @CheefQueef: Well damn. ""@PassDAPiff: Make her a single mother RT @LilTy4Real: What if you finally get the pussy &amp; it's garbage?""",red
I hate self-rightous bitches in general but my people really get on my fucking nerve sometimes.,red
RT @Tae_Rhodes: &#8220;@kim92493: &#8220;@Tae_Rhodes: @kim92493 @patpatbush uhhh you've been judged&#8221; it happens. #whitepower...I'll hang you nigger&#8221; wo&#8230;,red
&#8216;Chillin&#8217; With My Homie Or What&#8217;s Left Of Him&#8217;: British Rapper Turned ISIS Jihadi Poses With Severed Head http://t.co/L9vMdNOXPg #tcot,green
@Rasheed_Sheen man damn dude come get this bitch lml,red
RT @VinLaden2_: Niggas get married and start dissin single bitches smh RT @A2daO: You bitches want allowance and $200 dates and still singl&#8230;,red
@garcialaura_ rt! You'll see watch he finna hit that hoe and put some,red
The bitch who shot CJ is going upstate &#128079;&#128079;&#128588;&#128588;&#128591;&#128591; now he can RIP &#128124; http://t.co/ualjxaPMKJ,red
RT @AriesSpears: These young cats being drafted in the NBA today are walking lotto tickets! Wait till these niggas find out that pussy come&#8230;,red
You thought I was playin when I cut that bitch off,red
Prabha..i'm soryda..realy..frm heart i'm sory,green
I only like women who&#8217;s pussy smell like burnt cheese,red
I can tell when certain and specific people are posting on a group/corporate fb/twitter page by the consistent retarded hashtags #makeshitup,red
RT @koolestbreeze: Thanks Charlie!! http://t.co/iw06cCEkND,green
RT @_CDiddy: Hate to break the news but u spam bro RT @MojoGreen1217: A dyke a tuck her titties in the winter and start calling herself Mr.&#8230;,red
"The @GOP elite call conservatives ""our niggers"" behind closed doors. #tcot #teaparty",red
If you don't say thank you after someone holds the door open for you you're a bitch,red
RT @Ilovebamf: @Savage_530 @Nutty_niff @shai_yaya nick when the men are talking sit your bitch as in the corner and listen to this grown fo&#8230;,red
Being a hoe ain't cute #ijs,red
"RT @Honey_GotBunns: @1stBlocJeremiah lmfaoo NEVER I be Dolo , I dont got no niggas, &amp; for my old hoes FUCK ALL THEM &#128074;&#128514;&#128514;&#128514;",red
Having sex with a guy wont keep him around for you dumb hoes who think that. Theres plenty pussy. Just gotta have a guy who wont give in,red
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",yellow
@ennuitimes clever monkey!,green
@zooyorkinit you're frumpy bitch,red
The Conjuring wasn't trash. It just wasn't as good as Insidious.,green
"RT @bankheist: it's always anime faggots that got some shit to say lmao, you in love with some damn cartoons lol fuckin nerds",red
Cheated my way to get? Hahaha this bitch funny if youre so worried about me then stop subtweeting me dumb ass,red
Knowing what you want doesn't make you a bitch. It makes you a woman who won't settle for anything less than what she deserves.,red
RT @Mike_Hall32: Schools a bitch,red
It only be y'all worthless bitches that be like that though,red
He bring the hoes out on twitter nigga got magical powers RT @thisisyoungdj: Who is @DJZeeti?,red
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",yellow
@kailanlee #pussy,red
RT @fucktheseHOES__: Hate a bitch that run her mouth .,red
Snoop with the hoes &#128514;&#128514;&#128514;,red
"I was given the same number as Mean Joe Greene in high school but was never as tough as that son of a bitch.
#Respect",red
Nah my nigga just tried to set me up with the ugliest bitch of all time at the club just now. We officially ain't friends no more dawg wtf,red
@KazAtta I woulda jus told skylar one night 'hey I got a flight in the mornin...you wit it or nah' while textin my brazilian bitch,red
Sakurako legs spread wide as she takes a big cock deep in her&#160;twat http://t.co/36CVHP6C70,red
ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,yellow
Me &amp; Lew differ on philosophy I say smack that bitch bet she watch her mouf,red
What a dumb bitch,red
Kick dem fucc niccas out da spot,red
RT @ItsChee_: Whipped https://t.co/uCV3Hrjatv,green
Ungrateful bitches never happy how u not happy? What u mean u ain't happy? #youngjefe!,red
&#8220;@WhatTheFFacts: An orangutan once tried to have sex with actress Julia Roberts.&#8221;Smart monkey&#128514;,red
Been a trill nicca since a Lil nicca,red
bitch we are the realest boyz.,red
i am seeking a lady in the street and a freak in the sheets. Is that you?,green
No screaming means shouting..,green
Quan stop RT that faggot on my TL,red
RT @SomeoneBelow: The person below is a cunt.,red
RT @Colarbearr: &#8220;@HoesloveMyTweet: Niggas really be proud of having hoes. But how many of y'all gonna bring them dirty bitches home to your&#8230;,red
@kay_reneaa holy fuck thank you. I hate bitches that just fuck their ex then their boyfriend then back to back like damn Call you peace pipe,red
"Baked Montreal chicken, cheesy brussels sprouts, garlic butter triple cheddar &amp; chives yellow mashed&#8230; http://t.co/XsGW1kSqCW",green
"RT @ESPNNFL: For the 1st time in the Tom Brady era, the Patriots are in sole possession of last place in the AFC East http://t.co/zMkwGNzOCT",green
lock that bitch too&#8230; keep the heat out RT @Ms_Marrie: SHUT THE FRONT DOOR!,red
@binniemouse bitch don't kill my vibe,red
"""@jaimescudi_: ""@Tonybthrz_: ""@jaimescudi_: I swear if oomf try talking to me tomorrow.."" @"" @BarackObama"" pussy",red
"'Forget to salute,' trash the other guy for the 'bad war' (during Cairo II), sympathize w/ 'Pockistan,' gays hurting morale. Thanks King!",green
None of us went to these PRESTIGIOUS establishments so we're clearly not as superior as these fucking retards...,red
@LilBTheBiggsGod @Abbey_Kirkland two birds with one stone Biggs.,green
He remains a bro amongst bros,green
2 beer queer,red
Lighting my pretty ass up w them yellow stars lls,red
Jay-Z got 1 of the baddest EVA that proves men don't really need to look good to pull these hoes want security,red
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,green
"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",red
"RT @_ShesSuchADoll: ; straight &#128686; ""@DrewWhosUrDaddy: To each his own @wizkhalifa but these hoes weak http://t.co/W7TEj28aNr""",red
RT @ivanrabago_: @staycoolwheels @Studhardt22 Joshua is a faggot. Just suspend him on those grounds,red
Shall i ask one thing if you dont mistake me.,green
Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,yellow
"RT @AIanHangover: If I've ever offended you, im sorry..

.

.

.

.

.

.

.

.

.

.

that you're a sensitive lil bitch.",red
Who's ready for nigger spam?,red
@Leelucas_ &#128514;&#128514;&#128514;&#128128;&#128128; alright nah bitch you want play on Twitter.,red
Dumpster RT @baskgod: Gahbage RT @_sirhampton_: Chicks that smoke are trash. No in between. No debate.,green
"@WalkerJensen yaaaasssss it is. You are buhlowin' up my timeline, negro. &#128523;",red
See? I thought it all through,green
Networking job is there.,green
"RT @TheGoodGodAbove: Victoria&#8217;s real secret?
Five nipples and a sideways vagina.",red
Is there any movie theatre i can go to and watch unlimited movies and just pay once?,green
"RT @WhatTheFFacts: Actor Charlie Sheen once bought 2,600 seats at an Angels baseball game in hopes of catching a home run ball.",green
@GoneWithKalijah She was always a pathetic mutt desperately seeking attention &amp; a purpose. No matter what JP writes that will never change,green
"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",green
Going to California today for some analyzer training. Going into Dick Whitman mode. Wish I had a tan colored suit to wear for the flight.,green
"Don't worry, * is easy once have ingredients!",green
@gabbella03 rt something else from another bitch in panties about love I swear,red
Not..tel software name..,green
I though we shd go out n have some fun so bar in town or something – sound ok?,green
@riseofthefags69 stfu prude ass basic ass bitch,red
@ChiefKeef fucc droppin songs when yu gon drop a mixtape nicca,red
Ok lor thanx... Ü in school?,green
@ShotMoistBoyce you be fucking with to many hoes .,red
"Well, jhud is giving me 'bae just got home from work and Ima throw the pussy at him' http://t.co/2KBSxaMddg http://t.co/EsZjSuqYIQ",red
"&#8220;@AnthonyCumia: RT @ispfemme: Another Jersey fail - what a cunt http://t.co/1tZpbHgMhP

-No pics needed. Animal.&#8221; 

Dem coloreds be wack",red
Strong jaw ass bitch,red
"@riwhey_000 I'm just kidding, I'm not a fucking faggot",red
@efethegoddess Wuw. Am not wun uv ur hoes dnt send mi pics,red
@ElizabethBatman &amp; @z0mbiedance are bitches.,red
@JimNastikowski @3Quarters2Day ? Are you a race traitor or just a dumbass?,red
Me and my bitch http://t.co/AsYjv2K4Tt,red
Brandon Jennings trash,green
How did I get stuck with the worlds biggest cunt for a sister? I just wanna set the cunt on fire and send her straight to hell,red
Great! So what attracts you to the brothas?,green
Text me instead of playing flappy birds #SoIKnowItsReal,green
@1Corinthians126 #BooksOfGodWidom Proverbs 1:26 I also will laugh at your calamity; I will mock when your fear cometh;,green
"""@YunGMiGo: @Shane_A1 cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",red
I think you fuckin wit the wrong niggah,red
No problem with the renewal. I.ll do it right away but i dont know his details.,green
First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries,green
RT @AlaysiaMichelle: I just wanna get filthy rich &amp; have a nice big house full of bad bitches that I could fuck anytime I want &#128540;,red
bitch don't run to the neighbor he's dead too,red
Never let a boy make you feel like you're anything less than a bad bitch,red
RT @dril: hoo boy... these guinea pigd love to shit. shouldn't have ordered the full dozen,red
RT @SVO__: One who can't keep his bitch RT @StaceyNoDash_ What kind of man can't parallel park?,red
"My teacher always says ""Has a man ever abused his wife while using marijuana? Not unless she hides the Oreo cookies then she deserves it.""",green
S/o to my ace boon @Yeahh_Doe one of the few of the real girls on campus!! #YouMyNigga,red
"RT @YABOYLILB: ""And if you aint a hoe, GET UP OUT MY TRAPHOUSEEEE"" http://t.co/eNStJlXb2H",red
"@chvrlesGoldie like Hov said ""we all ghetto b"" lol",red
chill zahra im getting crackers rn,red
"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",green
@THEHermanCain @redskins I'm not a liberal &amp; I support changing the name. It transcends standard political grandstanding.,green
@QovEm Just played against a Heimer support. Biggest faggot ever. Stupid cheese champion.,red
RT @SportsCenter: Derek Jeter's final game at Yankee Stadium will be 1st he's ever played there with Yankees eliminated from playoffs. http&#8230;,green
@goldiethegamma @CLoprestiWFAN I'm referring to the second down put Vick in slot play #trash,green
&#8220;@Leelucas_: @100046729 @maxnostalgia http://t.co/F7D0mxCExj&#8221; bitch ima shake til I can't nomo,red
@whiteangelss84 y dont u end us monkeys then? U hate us because were better than crackers &amp; I love it. Deep down u know weve done nothin 2 u,red
"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",green
I be lying in got theses bitches like u on my fuckin mind... but I be really focus just on this money!!,red
@cristiannt_ bitch I back shit up fuck nigga,red
@angelo_papale lol now all ya need is sum beacg bod abs pussy boy,red
RT @Adrian1_knowsu: @0124jessi lml se pasa de shunsha &#128536;&#128536;and no mi joda w ur bitch waaa &#128514;&#128514;,red
Today's Spy Ops : ( Sexy smooth soles. They would feel good on shaft and balls. Love the grass stains On the other ) http://t.co/J0kceJQd0j,red
RT @halfricannnnn: nigger,red
#Yankees wasted Nu&#241;ez's season #rays #mlb,green
Hey so whats the plan this sat? ,green
"RT @copperpeony: @LibsHateUs @1Dittlinger Sharpton went from being a big fat snitch to a skinny bitch. Either way, he's nothing but a carni&#8230;",red
"RT @ThtNiggaXzavier: Couple A , B's , C's , bad bitch double D's , popping E's I don't give a F , told you I'm a G",red
"I uploaded a @YouTube video http://t.co/JHUuZpgr UPDATE ON UGANDA ANTI-GAY BILL: Freemasonry, Anglo-American Influence, and",green
